task	path	verb
T1	scripts/supervisor/ledger-snapshot.sh	CREATE
T1	scripts/supervisor/ledger_snapshot.py	CREATE
T1	scripts/supervisor/scan-corpus-secrets.sh	CREATE
T1	tests/supervisor/test_ledger_snapshot.sh	CREATE
T1	tests/supervisor/test_scan_corpus_secrets.sh	CREATE
T1	docs/audit/2026-08-19-council/CREDENTIAL-EXPOSURE.md	CREATE
T2	scripts/supervisor/register-owned-sessions.sh	CREATE
T2	tests/supervisor/test_register_owned_sessions.sh	CREATE
T3	scripts/supervisor/bootstrap-session.sh	MODIFY
T3	tests/supervisor/test_bootstrap_session.sh	MODIFY
T4	scripts/supervisor/session-reaper.sh	CREATE
T4	tests/supervisor/test_session_reaper.sh	CREATE
T4	launchd/com.jonhill.session-reaper.plist	CREATE
T5	scripts/supervisor/poller-recover.sh	MODIFY
T5	tests/supervisor/test_poller_recover.sh	MODIFY
T6	scripts/supervisor/watchdog.sh	MODIFY
T6	tests/supervisor/test_watchdog_no_session.sh	CREATE
T6	tests/supervisor/test_watchdog_ceiling_handoff.sh	CREATE
T6	tests/supervisor/test_watchdog_staleness.sh	MODIFY
T7	scripts/supervisor/restore.sh	MODIFY
T7	tests/supervisor/test_restore_only_session.sh	CREATE
T7	tests/supervisor/test_restore.sh	MODIFY
T8	launchd/com.jonhill.director-loop.plist	MODIFY
T8	launchd/com.jonhill.supervisor-watchdog.plist	CREATE
T8	launchd/com.jonhill.quota-watch.plist	CREATE
T8	launchd/com.jonhill.supervisor-heartbeat.plist	CREATE
T8	launchd/com.jonhill.weekly-watch.plist	CREATE
T8	launchd/com.jonhill.jon-report.plist	CREATE
T8	scripts/supervisor/check-plists-live.py	CREATE
T8	tests/supervisor/test_check_plists_live.py	CREATE
T9	scripts/supervisor/launchd-sweep.sh	CREATE
T9	tests/supervisor/test_launchd_sweep.sh	CREATE
T9	launchd/com.jonhill.launchd-sweep.plist	CREATE
T10	scripts/supervisor/run-from-main.sh	CREATE
T10	tests/supervisor/test_run_from_main.sh	CREATE
T10	launchd/com.jonhill.director-loop.plist	MODIFY
T10	launchd/com.jonhill.supervisor-watchdog.plist	MODIFY
T10	launchd/com.jonhill.quota-watch.plist	MODIFY
T10	launchd/com.jonhill.supervisor-heartbeat.plist	MODIFY
T10	launchd/com.jonhill.weekly-watch.plist	MODIFY
T10	launchd/com.jonhill.jon-report.plist	MODIFY
T11	scripts/supervisor/tmux-preflight.sh	CREATE
T11	tests/supervisor/test_tmux_preflight.sh	CREATE
T11	scripts/supervisor/director-loop.sh	MODIFY
T11	tests/supervisor/test_director_loop_preflight.sh	CREATE
T11	docs/decisions/contest-stop-disposition.md	CREATE
T12	scripts/supervisor/session-defaults.sh	MODIFY
T12	tests/supervisor/test_session_defaults.sh	MODIFY
T12	scripts/supervisor/check_session_literals.py	CREATE
T12	tests/supervisor/test_check_session_literals.py	CREATE
T12	.github/workflows/session-literals.yml	CREATE
T13	scripts/supervisor/tmux_verb_guard.py	MODIFY
T13	tests/supervisor/test_tmux_verb_guard.py	MODIFY
T13	scripts/supervisor/tmux-isolation.sh	MODIFY
T14	scripts/supervisor/heartbeat.sh	MODIFY
T14	tests/supervisor/test_heartbeat.sh	MODIFY
T14	tests/supervisor/test_heartbeat_healthy_pane.sh	CREATE
T15	scripts/supervisor/ci_gate.py	MODIFY
T15	tests/supervisor/test_ci_gate.py	MODIFY
T15	.github/workflows/ui-evidence.yml	MODIFY
T15	scripts/supervisor/check_workflow_job_names.py	CREATE
T15	tests/supervisor/test_check_workflow_job_names.py	CREATE
T15	.github/workflows/workflow-job-names.yml	CREATE
T16	scripts/supervisor/check_module_callers.py	CREATE
T16	tests/supervisor/test_check_module_callers.py	CREATE
T16	.github/workflows/module-callers.yml	CREATE
T16	docs/decisions/acp-disposition.md	CREATE
T17	scripts/supervisor/watchdog_notify.py	MODIFY
T17	tests/supervisor/test_watchdog_notify.py	MODIFY
T17	tests/supervisor/test_watchdog_notify_subsystem.py	CREATE
T18	scripts/supervisor/check_events_consumed.py	CREATE
T18	tests/supervisor/test_check_events_consumed.py	CREATE
T18	.github/workflows/events-consumed.yml	CREATE
T19	scripts/supervisor/phase-report.sh	CREATE
T19	scripts/supervisor/closed-report.sh	MODIFY
T19	ASKS.tsv	CREATE
T19	scripts/supervisor/check_asks.sh	CREATE
T19	tests/supervisor/test_check_asks.sh	CREATE
T19	tests/supervisor/test_closed_report_always_sends.sh	CREATE
T19	tests/supervisor/test_phase_report.sh	CREATE
T20	scripts/supervisor/reap.sh	CREATE
T20	tests/supervisor/test_reap.sh	CREATE
T20	launchd/com.jonhill.reap.plist	CREATE
T20	scripts/supervisor/poller-leak-cleanup.sh	MODIFY
T20	.github/workflows/ceilings.yml	CREATE
T20	scripts/supervisor/check_ceilings.sh	CREATE
T20	tests/supervisor/test_check_ceilings.sh	CREATE
T21	scripts/supervisor/state-orphan-audit.sh	CREATE
T21	tests/supervisor/test_state_orphan_audit.sh	CREATE
T21	launchd/com.jonhill.state-orphan-audit.plist	CREATE
T22	scripts/supervisor/hook-spike.sh	CREATE
T22	docs/audit/2026-08-19-council/hook-spike-results.md	CREATE
T23	.claude/check_stop_authorized.sh	CREATE
T23	.claude/check_quote_policy.sh	CREATE
